Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2018-06-29,0.00365866432746915,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-02,0.003663513297552759,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-03,0.0036665959175378295,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-04,0.0036543203012744355,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-05,0.003659377702624158,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-06,0.0036632107944404944,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-09,0.0036618638223760757,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-10,0.0036517276635501866,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-11,0.0036632822666548617,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-12,0.0036568246101190034,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-13,0.0036662138024938637,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-16,0.003661078896010503,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-17,0.0036603869730104993,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-18,0.003671605260377935,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-19,0.0036734999298281847,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-20,0.0036738598682646783,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-23,0.003652475018976287,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-24,0.003661174076976867,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-25,0.003668719088524481,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-26,0.0036628349672361725,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-27,0.0036563538018997655,USD,0.020967700000000002,-0.0003358999999999999,108.91,647630.4930868591,1295260.9861737182,0.042271300000000005,63.76304930868591
2018-07-30,0.0036729042446908243,USD,0.020967700000000002,-0.0003358999999999999,108.91,675006.6759492815,1295260.9861737182,0,66.50066759492816
2018-07-31,0.0036862980174548043,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-01,0.003685774658883296,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-02,0.0036864854056754626,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-03,0.0036845090323836577,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-07,0.0036957712685059376,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-08,0.0036985658010086383,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-09,0.0037007128858930144,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-10,0.0036908405061576942,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-13,0.003686355272071486,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-14,0.003682268011358636,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-15,0.0036803169527050332,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-16,0.0037077017705947194,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-17,0.0036910226627909614,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-20,0.00370706137263557,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-21,0.003693972246504617,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-22,0.0036919386231338666,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-23,0.0037057515086257806,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-24,0.0036991437643927086,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-28,0.0037087461729369436,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-29,0.003700722569224702,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
